"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"4963",1.08053912276328e-134,1.6344742114551,0.467,0.189,2.00148261709443e-130,"7","Emp1"
"4964",7.32364826043644e-162,1.63408844707122,0.455,0.159,1.35655936728064e-157,"7","Ggh"
"4965",6.36254892147993e-106,1.6324698296902,0.257,0.076,1.17853493672573e-101,"7","Gpat3"
"4966",1.23601701773732e-24,1.62873212055331,0.069,0.022,2.28947432195483e-20,"7","Mvd"
"4967",1.10049096662518e-47,1.62864047722847,0.123,0.038,2.03843941747982e-43,"7","Ppfia4"
"4968",0,1.62829194527024,0.844,0.35,0,"7","Xylt1"
"4969",3.66019416078087e-19,1.62788256019455,0.055,0.018,6.7797776440144e-15,"7","Pkd2"
"4970",1.24378752954938e-09,1.62788256019455,0.025,0.008,2.30386764098431e-05,"7","Jmjd8"
"4971",3.7933915803874e-52,1.6270020627361,0.154,0.051,7.02649922435158e-48,"7","Klf9"
"4972",2.0654002432943e-135,1.62578996949328,0.33,0.1,3.82574087065403e-131,"7","Itga5"
"4973",0,1.62510820842018,0.748,0.218,0,"7","Ly86"
"4974",1.91957711341265e-163,1.62426953167397,0.398,0.122,3.55563268717425e-159,"7","Ltb4r1"
"4975",3.28562404472043e-23,1.62399348878159,0.064,0.021,6.08596141803564e-19,"7","Smagp"
"4976",4.45878516851118e-12,1.62350411968397,0.035,0.012,8.25900776763326e-08,"7","Gm37168"
"4977",4.31649651379807e-39,1.62237257880227,0.114,0.037,7.99544649250816e-35,"7","Naip6"
"4978",2.17520252568063e-66,1.62204396247594,0.186,0.06,4.02912763831824e-62,"7","Dnase1l1"
"4979",8.67730621994871e-131,1.62048972932556,0.292,0.082,1.6072974311211e-126,"7","Rab7b"
"4980",1.02552764264051e-253,1.62031228413156,0.641,0.224,1.89958485246302e-249,"7","Xbp1"
"4981",1.03663136637967e-13,1.6148082040489,0.039,0.013,1.92015227994506e-09,"7","Scarf1"
"4982",8.06585171669953e-90,1.61323578423014,0.245,0.079,1.49403771348425e-85,"7","Zfp703"
"4983",9.00115474649573e-48,1.61302263581565,0.137,0.045,1.6672838936934e-43,"7","Pdxk"
"4984",3.13149156271438e-39,1.61265510600098,0.088,0.025,5.80046182161584e-35,"7","Arhgap6"
"4985",6.43545168490723e-07,1.61015639129817,0.019,0.007,0.0119203871559537,"7","Fut4"
"4986",3.36906476739184e-187,1.60739598032269,0.418,0.119,6.2405186686399e-183,"7","Lrrc25"
"4987",2.55337116656666e-102,1.6064935762359,0.319,0.114,4.72960941183142e-98,"7","Glul"
"4988",3.37766322105103e-209,1.60600114177671,0.532,0.176,6.25644558435283e-205,"7","Sgk3"
"4989",8.85933227554468e-79,1.60553246100854,0.235,0.08,1.64101411739914e-74,"7","Csgalnact2"
"4990",7.15145236883027e-11,1.60543741366974,0.031,0.011,1.32466352227843e-06,"7","Gm34983"
"4991",4.10599117757562e-244,1.60266587352699,0.705,0.285,7.60552745822332e-240,"7","Notch2"
"4992",4.23871473317718e-17,1.60199102706252,0.051,0.017,7.85137130026409e-13,"7","Map3k15"
"4993",7.44666962033807e-16,1.5989515582239,0.048,0.017,1.37934661377522e-11,"7","Wdr62"
"4994",1.31263074937936e-260,1.59865935168287,0.63,0.204,2.4313859370754e-256,"7","Irf5"
"4995",9.71543344314692e-139,1.59749349387168,0.354,0.111,1.7995897366741e-134,"7","Milr1"
"4996",9.20098415076554e-69,1.59637988834516,0.218,0.076,1.7042982942463e-64,"7","Arhgef11"
